Concentration Analysis Report,,,
,,,
Report time                      ,08-14-20 16:29,,
Method                           ,D:\UV-VIS\Method\Cr (VI)- ISO17075.MCN                                             ,,
Batch name                       ,D:\UV-VIS\Concentration\2020\20200814-CR.BCN                                       ,,
Application                      ,Concentration 4.20(468)                                                            ,,
Operator                         ,ida                                                                                ,,
,,,
Instrument Settings,,,
Instrument                       ,Cary 100                                                                           ,,
Instrument version no.           ,12,,
Wavelength (nm)                  ,540,,
Ordinate Mode                    ,Abs                                                                                ,,
SBW (nm)                         ,1.5,,
Ave Time (sec)                   ,0.1,,
Beam mode                        ,Double auto select                                                                 ,,
Beam interchange                 ,Normal                                                                             ,,
Replicates                       ,1,,
Standard/Sample averaging        ,OFF                                                                                ,,
Weight and volume corrections    ,OFF                                                                                ,,
Fit type                         ,Linear                                                                             ,,
Min R2                           ,0.95,,
Concentration units              ,mg/L                                                                               ,,
,,,
Comments:,,,
,,,
Calibration,,,
Collection time                  ,08-14-20 15:07,,
,,,
      Standard       ,Concentration , F  ,Readings 
                     ,    mg/L      ,    ,         
____________________________________________________,,,
Std 1                ,0.003,    ,0.0098
Std 2                ,0.008,    ,0.0284
Std 3                ,0.02,    ,0.079
Std 4                ,0.04,    ,0.1632
Std 5                ,0.06,    ,0.2517
Std 6                ,0.08,    ,0.3344
,,,
Calibration eqn                ,Abs = 4.24483*Conc -0.00485                                                      ,,
Correlation Coefficient        ,0.99986,,
Calibration time               ,08-14-20 16:29,,
,,,
Analysis,,,
Collection time                ,08-14-20 16:28,,
ReCalculation Time             ,08-14-20 16:29,,
,,,
       Sample        ,Concentration , F  ,Readings 
                     ,    mg/L      ,    ,         
____________________________________________________,,,
BLK                  ,0.001,    ,-0.0018
BLK+DPC              ,0.002,    ,0.0021
BS                   ,0.001,    ,-0.0018
BS+DPC               ,0.04,    ,0.1656
A 12105/2            ,0.002,    ,0.0045
A 12105/2+D          ,0.002,    ,0.0055
A 12106/1            ,0.001,    ,-0.0025
A 12106/1+D          ,0.002,    ,0.0045
QC                   ,0.039,    ,0.1612
A 12105/2+S          ,0.016,    ,0.061
A 12106/1+S          ,0.035,    ,0.1417
QC                   ,0.039,    ,0.1593
,,,
Results Flags Legend,,,
U = Uncalibrated               ,O = Overrange                                                                    ,,
N = Not used in calibration    ,R = Repeat reading                                                               ,,
