Concentration Analysis Report,,,
,,,
Report time                      ,1/2/2020 2:19:31 PM                                                                ,,
Method                           ,D:\UV-VIS\Method\Cr (VI)- ISO17075.MCN                                             ,,
Batch name                       ,D:\UV-VIS\Concentration\2020\20200102-CR.BCN                                       ,,
Application                      ,Concentration 4.20(468)                                                            ,,
Operator                         ,An                                                                                 ,,
,,,
Instrument Settings,,,
Instrument                       ,Cary 100                                                                           ,,
Instrument version no.           ,12,,
Wavelength (nm)                  ,540,,
Ordinate Mode                    ,Abs                                                                                ,,
SBW (nm)                         ,1.5,,
Ave Time (sec)                   ,0.1,,
Beam mode                        ,Double auto select                                                                 ,,
Beam interchange                 ,Normal                                                                             ,,
Replicates                       ,1,,
Standard/Sample averaging        ,OFF                                                                                ,,
Weight and volume corrections    ,OFF                                                                                ,,
Fit type                         ,Linear                                                                             ,,
Min R2                           ,0.95,,
Concentration units              ,mg/L                                                                               ,,
,,,
Comments:,,,
,,,
Calibration,,,
Collection time                  ,1/2/2020 1:54:12 PM                                                                ,,
,,,
      Standard       ,Concentration , F  ,Readings 
                     ,    mg/L      ,    ,         
____________________________________________________,,,
Std 1                ,0.003,    ,0.0145
Std 2                ,0.008,    ,0.0319
Std 3                ,0.02,    ,0.082
Std 4                ,0.04,    ,0.1643
Std 5                ,0.06,    ,0.2439
Std 6                ,0.08,    ,0.3231
,,,
Calibration eqn                ,Abs = 4.03238*Conc +0.00149                                                      ,,
Correlation Coefficient        ,0.9999,,
Calibration time               ,1/2/2020 2:19:31 PM                                                              ,,
,,,
Analysis,,,
Collection time                ,1/2/2020 1:56:24 PM                                                              ,,
ReCalculation Time             ,1/2/2020 2:19:31 PM                                                              ,,
,,,
       Sample        ,Concentration , F  ,Readings 
                     ,    mg/L      ,    ,         
____________________________________________________,,,
BLK                  ,-0.002,    ,-0.0059
BLK+DPC              ,0,    ,-0.0005
BLK SPIKE            ,-0.003,    ,-0.0092
BLK SPIKE+DPC        ,0.039,    ,0.1589
SS24730/2A           ,0.002,    ,0.0099
SAMPLE SPIKE+DPC     ,0.023,    ,0.0927
A 24730/2            ,0.002,    ,0.0095
A 24730/2+D          ,0.006,    ,0.0257
A 24731/2            ,0.002,    ,0.0115
A 24731/2+D          ,0.018,    ,0.0733
A 24731/3            ,-0.002,    ,-0.0082
A 24731/3+DG         ,0.002,    ,0.0097
A 24731/4            ,0.006,    ,0.0239
A 24731/4+D          ,0.009,    ,0.0372
A 24731/13           ,-0.001,    ,-0.0045
A 24731/13+DG        ,0.003,    ,0.0147
A 24738/2            ,0.008,    ,0.0331
A 24738/2+D          ,0.011,    ,0.0445
A 24738/3            ,0.011,    ,0.0457
A 24738/3+D          ,0.014,    ,0.0563
A 24738/4            ,-0.001,    ,-0.0009
A 24738/4+D          ,0.006,    ,0.0265
A 24738/20           ,0.027,    ,0.1102
A 24738/20+D         ,0.028,    ,0.1147
A 24741/2            ,0.01,    ,0.0423
A 24741/2+D          ,0.013,    ,0.0537
A 24741/3            ,0,    ,-0.0001
A 24741/3+D          ,0.011,    ,0.0469
A 24741/4            ,0.023,    ,0.0925
A 24741/4+D          ,0.026,    ,0.1069
A 24741/20           ,0.027,    ,0.1085
A 24741/20+D         ,0.028,    ,0.1139
A 24746/16           ,0.038,    ,0.1543
A 24746/16+D         ,0.04,    ,0.1609
QC                   ,0.041,    ,0.166
A 24747/2            ,-0.002,    ,-0.0079
A 24747/2+D          ,0.001,    ,0.0045
A 24762/3            ,-0.002,    ,-0.0077
A 24762/3+D          ,0.001,    ,0.0075
A 24796/2            ,-0.003,    ,-0.0096
A 24796/2+DG         ,0.003,    ,0.0139
A 24807/1            ,0.011,    ,0.0447
A 24807/1+D          ,0.014,    ,0.0591
A 24807/2            ,0.001,    ,0.0052
A 24807/2+D          ,0.005,    ,0.0233
A 24807/3            ,0.003,    ,0.0151
A 24807/3+D          ,0.005,    ,0.0235
A 24817/1            ,0.009,    ,0.0368
A 24817/1+D          ,0.011,    ,0.0445
QC                   ,0.041,    ,0.1673
,,,
Results Flags Legend,,,
U = Uncalibrated               ,O = Overrange                                                                    ,,
N = Not used in calibration    ,R = Repeat reading                                                               ,,
